id,type,direction,angle,location,category,rating
10,0,0,1,0,easiness,7
10,0,0,1,0,comfort,6
10,0,0,1,0,confidence,7
10,0,0,1,0,social,6
10,0,0,2,0,easiness,7
10,0,0,2,0,comfort,5
10,0,0,2,0,confidence,7
10,0,0,2,0,social,6
10,0,1,0,0,easiness,7
10,0,1,0,0,comfort,6
10,0,1,0,0,confidence,7
10,0,1,0,0,social,7
10,0,1,1,0,easiness,6
10,0,1,1,0,comfort,4
10,0,1,1,0,confidence,6
10,0,1,1,0,social,5
10,0,1,2,0,easiness,4
10,0,1,2,0,comfort,2
10,0,1,2,0,confidence,5
10,0,1,2,0,social,5
25,0,0,0,0,easiness,6
25,0,0,0,0,comfort,7
25,0,0,0,0,confidence,7
25,0,0,0,0,social,7
25,0,0,1,0,easiness,3
25,0,0,1,0,comfort,6
25,0,0,1,0,confidence,7
25,0,0,1,0,social,7
25,0,0,2,0,easiness,3
25,0,0,2,0,comfort,3
25,0,0,2,0,confidence,5
25,0,0,2,0,social,7
25,0,1,0,0,easiness,6
25,0,1,0,0,comfort,7
25,0,1,0,0,confidence,6
25,0,1,0,0,social,7
25,0,1,1,0,easiness,3
25,0,1,1,0,comfort,3
25,0,1,1,0,confidence,3
25,0,1,1,0,social,3
25,0,1,2,0,easiness,2
25,0,1,2,0,comfort,2
25,0,1,2,0,confidence,1
25,0,1,2,0,social,4
5,0,0,0,0,easiness,6
5,0,0,0,0,comfort,6
5,0,0,0,0,confidence,6
5,0,0,0,0,social,6
5,0,0,1,0,easiness,5
5,0,0,1,0,comfort,5
5,0,0,1,0,confidence,5
5,0,0,1,0,social,6
5,0,0,2,0,easiness,5
5,0,0,2,0,comfort,5
5,0,0,2,0,confidence,5
5,0,0,2,0,social,6
5,0,1,0,0,easiness,6
5,0,1,0,0,comfort,6
5,0,1,0,0,confidence,6
5,0,1,0,0,social,6
5,0,1,1,0,easiness,5
5,0,1,1,0,comfort,5
5,0,1,1,0,confidence,5
5,0,1,1,0,social,5
5,0,1,2,0,easiness,4
5,0,1,2,0,comfort,4
5,0,1,2,0,confidence,4
5,0,1,2,0,social,4
4,0,0,0,0,easiness,7
4,0,0,0,0,comfort,7
4,0,0,0,0,confidence,7
4,0,0,0,0,social,7
4,0,0,1,0,easiness,7
4,0,0,1,0,comfort,7
4,0,0,1,0,confidence,7
4,0,0,1,0,social,7
4,0,0,2,0,easiness,7
4,0,0,2,0,comfort,7
4,0,0,2,0,confidence,7
4,0,0,2,0,social,7
