id,type,direction,angle,location,block,trial,errors,time,correct
1,1,1,-1,8,1,1,0,1778,true
1,1,1,-1,7,1,0,0,1360,true
1,1,1,-1,7,1,1,0,1506,true
1,1,0,-1,7,1,0,0,1162,true
1,1,0,-1,7,1,1,0,1325,true
1,1,1,-1,4,1,0,1,1766,true
1,1,1,-1,4,1,1,0,1803,true
1,1,0,-1,4,1,0,0,1099,true
1,1,0,-1,4,1,1,0,1152,true
1,1,1,-1,4,2,0,1,1648,true
1,1,1,-1,4,2,1,0,1397,true
1,1,0,-1,4,2,0,0,1138,true
1,1,0,-1,4,2,1,0,857,true
1,1,1,-1,6,2,0,1,1031,true
1,1,1,-1,6,2,1,0,1031,true
1,1,0,-1,6,2,0,1,871,true
1,1,0,-1,6,2,1,0,1041,true
1,1,1,-1,5,2,0,0,1120,true
1,1,1,-1,5,2,1,1,1527,true
1,1,0,-1,5,2,0,0,1155,true
1,1,0,-1,5,2,1,0,1388,true
1,1,0,-1,3,2,0,0,1203,true
1,1,0,-1,3,2,1,1,1052,true
1,1,1,-1,3,2,0,0,1588,true
1,1,1,-1,3,2,1,1,1213,true
1,1,0,-1,1,2,0,1,1252,true
1,1,0,-1,1,2,1,0,1177,true
1,1,1,-1,1,2,0,0,2833,true
1,1,1,-1,1,2,1,0,2573,true
1,1,0,-1,7,2,0,0,1254,true
1,1,0,-1,7,2,1,0,1445,true
1,1,1,-1,7,2,0,0,1525,true
1,1,1,-1,7,2,1,0,1714,true
1,1,0,-1,8,2,0,0,1271,true
1,1,0,-1,8,2,1,0,1138,true
1,1,1,-1,8,2,0,0,1491,true
1,1,1,-1,8,2,1,0,1842,true
1,1,1,-1,2,2,0,0,2020,true
1,1,1,-1,2,2,1,1,2299,true
1,1,0,-1,2,2,0,1,1258,true
1,1,0,-1,2,2,1,0,986,true
1,1,1,-1,5,3,0,0,1202,true
1,1,1,-1,5,3,1,0,1045,true
1,1,0,-1,5,3,0,0,925,true
1,1,0,-1,5,3,1,0,1291,true
1,1,0,-1,1,3,0,0,1182,true
